"","X","Length","Width","MeanThick","Max_Thick","Weight","Surface.Plat","Platfom_Depth","Cortex","No_Scars","Termination_type","EPA","Log_Weight","Log_Max_Thick","Log_Plat","Log_Plat_De"
"221",221,29.9,38,5.36666666666667,6.8,5.76,15.0089589025252,2.1,1,0,"Feather",60,0.760422483423212,0.832508912706236,1.17635056842118,0.322219294733919
"222",222,38.2,42.6,7.4,10.3,14.28,62.22,10.2,3,1,"Feather",61,1.15472820744016,1.01283722470517,1.79393000677268,1.00860017176192
"223",223,35.4,45.2,7.13333333333333,8.5,13.93,23.4991130488517,3.4,2,2,"Feather",80,1.14395111642396,0.929418925714293,1.3710514705586,0.531478917042255
"224",224,42.4,44,5.66666666666667,7.2,13.08,12.299335238804,2.9,3,2,"Feather",79,1.11660774398825,0.857332496431269,1.0898816390881,0.462397997898956
"225",225,54.6,31.8,4.2,5.5,7.53,8,3.2,2,1,"Feather",61,0.876794976200701,0.740362689494244,0.903089986991944,0.505149978319906
"226",226,45.9,38.7,5.06666666666667,6.9,9.87,13.1868351634432,2.3,3,1,"Feather",85,0.994317152669637,0.838849090737255,1.12014057750422,0.361727836017593
"227",227,35.7,44,4.43333333333333,6.4,7.17,22.755,4.1,5,3,"Feather",85,0.8555191556678,0.806179973983887,1.35707683984241,0.612783856719735
"228",228,34.2,35,5.46666666666667,6.6,7.39,59,5,5,4,"Feather",85,0.868644438394826,0.819543935541869,1.77085201164214,0.698970004336019
"229",229,49,32.2,3.06666666666667,3.3,4.96,4.29,2.2,5,4,"Feather",88,0.695481676490197,0.518513939877887,0.632457292184724,0.342422680822206
"230",230,44.7,28.1,3.4,4.3,4.34,8.98495498926681,2.6,4,4,"Feather",85,0.637489729512511,0.633468455579587,0.953515905823177,0.414973347970818
"231",231,33.4,22.7,3,4,2.73,9.56614963018092,2.1,5,3,"Hinge",84,0.436162647040756,0.602059991327962,0.980737169663028,0.322219294733919
"232",232,25.5,27.6,4.36666666666667,6.4,3.11,9.33053018116169,2.2,5,2,"Hinge",74,0.492760389026837,0.806179973983887,0.969906322011346,0.342422680822206
"233",233,24.3,27.6,3.76666666666667,4.7,2.34,23.5619449019234,3,5,2,"Feather",81,0.369215857410143,0.672097857935718,1.37221113608583,0.477121254719662
"234",234,27.7,31.2,7.53333333333333,9.5,5.39,54.34,4.4,2,1,"Feather",78,0.731588765186739,0.977723605288848,1.73511963408187,0.643452676486187
"235",235,36.3,32,6.1,8.7,6.53,6.75442420521806,2,3,2,"Feather",78,0.814913181275074,0.939519252618618,0.829588332609739,0.301029995663981
"236",236,29.9,33.5,4.96666666666667,6.9,6.43,12.0951317163207,2,1,0,"Feather",49,0.808210972924222,0.838849090737255,1.08261060220263,0.301029995663981
"237",237,61,37.8,7.36666666666667,8,21.41,98.77,8.3,5,3,"Feather",80,1.33061666729444,0.903089986991944,1.9946250537686,0.919078092376074
"238",238,57.3,34.6,6.66666666666667,10.7,13.21,49.47,5.1,5,3,"Feather",85,1.12090281761453,1.02938377768521,1.69434191036418,0.707570176097936
"239",239,36.2,36.5,7.83333333333333,10,8.92,155.135,7.1,5,2,"Feather",70,0.950364854376123,1,2.19070979002552,0.851258348719075
